QuarterEnd,PPIACO
1995-06-30,124.93333333333334
1995-03-31,123.43333333333334
1994-12-31,121.43333333333334
1994-09-30,120.96666666666665
1994-06-30,120.03333333333335
1994-03-31,119.36666666666667
1993-12-31,118.89999999999999
1993-09-30,118.86666666666667
1993-06-30,119.5
1993-03-31,118.36666666666667
1992-12-31,117.83333333333333
1992-09-30,117.86666666666667
1992-06-30,117.16666666666667
1992-03-31,115.89999999999999
1991-12-31,116.23333333333335
1991-09-30,116.13333333333333
1991-06-30,116.3
1991-03-31,117.46666666666665
1990-12-31,119.86666666666667
1990-09-30,116.46666666666665
1990-06-30,114.33333333333333
1990-03-31,114.5
1989-12-31,112.83333333333333
1989-09-30,112.39999999999999
1989-06-30,112.8
1989-03-31,110.93333333333334
1988-12-31,108.5
1988-09-30,108.0
1988-06-30,106.5
1988-03-31,104.76666666666667
1987-12-31,104.16666666666667
1987-09-30,103.66666666666667
1987-06-30,102.5
1987-03-31,100.89999999999999
1986-12-31,99.73333333333333
1986-09-30,99.36666666666667
1986-06-30,99.83333333333333
1986-03-31,101.73333333333333
1985-12-31,103.3
1985-09-30,102.66666666666667
1985-06-30,103.36666666666667
1985-03-31,103.26666666666667
1984-12-31,103.53333333333335
1984-09-30,103.8
1984-06-30,104.03333333333335
1984-03-31,103.33333333333333
1983-12-31,102.2
1983-09-30,101.7
1983-06-30,100.73333333333333
1983-03-31,100.36666666666667
1982-12-31,100.33333333333333
1982-09-30,100.23333333333333
1982-06-30,99.8
1982-03-31,99.7
1981-12-31,98.83333333333333
1981-09-30,98.93333333333334
1981-06-30,98.26666666666667
1981-03-31,96.10000000000001
1980-12-31,93.26666666666667
1980-09-30,91.16666666666667
1980-06-30,88.26666666666667
1980-03-31,86.53333333333335
1979-12-31,82.7
1979-09-30,79.89999999999999
1979-06-30,77.46666666666667
1979-03-31,74.83333333333333
1978-12-31,72.2
1978-09-30,70.60000000000001
1978-06-30,69.5
1978-03-31,67.46666666666665
1977-12-31,65.86666666666666
1977-09-30,65.13333333333333
1977-06-30,65.03333333333335
1977-03-31,63.46666666666666
1976-12-31,62.13333333333333
1976-09-30,61.6
1976-06-30,60.86666666666667
1976-03-31,59.93333333333334
1975-12-31,59.666666666666664
1975-09-30,59.03333333333333
1975-06-30,57.800000000000004
1975-03-31,57.166666666666664
1974-12-31,57.199999999999996
1974-09-30,55.26666666666667
1974-06-30,51.6
1974-03-31,49.86666666666667
1973-12-31,46.73333333333333
1973-09-30,46.36666666666667
1973-06-30,44.53333333333333
1973-03-31,42.46666666666667
1972-12-31,40.5
1972-09-30,40.1
1972-06-30,39.5
1972-03-31,39.06666666666667
1971-12-31,38.4
1971-09-30,38.36666666666667
1971-06-30,38.06666666666667
1971-03-31,37.6
1970-12-31,37.1
1970-09-30,37.03333333333333
1970-06-30,36.833333333333336
1970-03-31,36.63333333333333
1969-12-31,36.1
1969-09-30,35.766666666666666
1969-06-30,35.5
1969-03-31,35.0
1968-12-31,34.5
1968-09-30,34.300000000000004
1968-06-30,34.166666666666664
1968-03-31,33.96666666666667
1967-12-31,33.5
1967-09-30,33.43333333333333
1967-06-30,33.300000000000004
1967-03-31,33.36666666666667
1966-12-31,33.333333333333336
1966-09-30,33.56666666666667
1966-06-30,33.233333333333334
1966-03-31,33.1
1965-12-31,32.63333333333333
1965-09-30,32.4
1965-06-30,32.166666666666664
1965-03-31,31.866666666666664
1964-12-31,31.7
1964-09-30,31.633333333333336
1964-06-30,31.53333333333333
1964-03-31,31.666666666666668
1963-12-31,31.633333333333336
1963-09-30,31.633333333333336
1963-06-30,31.5
1963-03-31,31.53333333333333
1962-12-31,31.666666666666668
1962-09-30,31.7
1962-06-30,31.53333333333333
1962-03-31,31.7
1961-12-31,31.53333333333333
1961-09-30,31.5
1961-06-30,31.46666666666667
1961-03-31,31.8
1960-12-31,31.7
1960-09-30,31.633333333333336
1960-06-30,31.733333333333334
1960-03-31,31.666666666666668
1959-12-31,31.53333333333333
1959-09-30,31.666666666666668
1959-06-30,31.766666666666666
1959-03-31,31.7
1958-12-31,31.566666666666666
1958-09-30,31.600000000000005
1958-06-30,31.633333333333336
1958-03-31,31.566666666666666
1957-12-31,31.3
1957-09-30,31.333333333333332
1957-06-30,31.066666666666666
1957-03-31,31.0
1956-12-31,30.7
1956-09-30,30.400000000000002
1956-06-30,30.233333333333334
1956-03-31,29.8
1955-12-31,29.53333333333333
1955-09-30,29.433333333333334
1955-06-30,29.233333333333334
1955-03-31,29.233333333333334
1954-12-31,29.099999999999998
1954-09-30,29.266666666666666
1954-06-30,29.333333333333332
1954-03-31,29.333333333333332
1953-12-31,29.166666666666668
1953-09-30,29.366666666666664
1953-06-30,29.03333333333333
1953-03-31,29.133333333333336
1952-12-31,29.3
1952-09-30,29.666666666666668
1952-06-30,29.566666666666666
1952-03-31,29.866666666666664
1951-12-31,30.100000000000005
1951-09-30,30.166666666666668
1951-06-30,30.666666666666668
1951-03-31,30.766666666666666
1950-12-31,29.099999999999998
1950-09-30,27.866666666666664
1950-06-30,26.366666666666664
1950-03-31,26.03333333333333
1949-12-31,25.96666666666667
1949-09-30,26.03333333333333
1949-06-30,26.266666666666666
1949-03-31,26.96666666666667
1948-12-31,27.733333333333334
1948-09-30,28.099999999999998
1948-06-30,27.53333333333333
1948-03-31,27.366666666666664
1947-12-31,26.766666666666666
1947-09-30,25.666666666666668
1947-06-30,25.03333333333333
1947-03-31,24.833333333333332
1946-12-31,23.833333333333332
1946-09-30,21.7
1946-06-30,19.166666666666668
1946-03-31,18.566666666666666
1945-12-31,18.333333333333332
1945-09-30,18.2
1945-06-30,18.266666666666666
1945-03-31,18.1
1944-12-31,17.966666666666665
1944-09-30,17.9
1944-06-30,17.933333333333334
1944-03-31,17.833333333333332
1943-12-31,17.766666666666666
1943-09-30,17.8
1943-06-30,17.9
1943-03-31,17.666666666666668
1942-12-31,17.3
1942-09-30,17.099999999999998
1942-06-30,17.0
1942-03-31,16.666666666666668
1941-12-31,16.0
1941-09-30,15.566666666666668
1941-06-30,14.666666666666666
1941-03-31,13.933333333333332
1940-12-31,13.700000000000001
1940-09-30,13.4
1940-06-30,13.466666666666667
1940-03-31,13.6
1939-12-31,13.666666666666666
1939-09-30,13.166666666666666
1939-06-30,13.066666666666668
1939-03-31,13.266666666666666
1938-12-31,13.366666666666667
1938-09-30,13.5
1938-06-30,13.5
1938-03-31,13.833333333333334
1937-12-31,14.4
1937-09-30,15.133333333333333
1937-06-30,15.1
1937-03-31,14.933333333333332
1936-12-31,14.233333333333334
1936-09-30,13.966666666666667
1936-06-30,13.633333333333333
1936-03-31,13.833333333333334
1935-12-31,13.933333333333332
1935-09-30,13.833333333333334
1935-06-30,13.800000000000002
1935-03-31,13.666666666666666
1934-12-31,13.233333333333334
1934-09-30,13.166666666666666
1934-06-30,12.766666666666666
1934-03-31,12.6
1933-12-31,12.266666666666666
1933-09-30,12.033333333333333
1933-06-30,10.799999999999999
1933-03-31,10.4
1932-12-31,10.966666666666667
1932-09-30,11.200000000000001
1932-06-30,11.133333333333333
1932-03-31,11.466666666666667
1931-12-31,12.0
1931-09-30,12.366666666666667
1931-06-30,12.633333333333333
1931-03-31,13.266666666666666
1930-12-31,14.0
1930-09-30,14.5
1930-06-30,15.266666666666666
1930-03-31,15.700000000000001
1929-12-31,16.2
1929-09-30,16.6
1929-06-30,16.400000000000002
1929-03-31,16.5
1928-12-31,16.566666666666666
1928-09-30,16.866666666666667
1928-06-30,16.733333333333334
1928-03-31,16.533333333333335
1927-12-31,16.633333333333336
1927-09-30,16.400000000000002
1927-06-30,16.233333333333334
1927-03-31,16.5
1926-12-31,17.0
1926-09-30,17.133333333333336
1926-06-30,17.3
1926-03-31,17.566666666666666
1925-12-31,17.866666666666667
1925-09-30,17.900000000000002
1925-06-30,17.566666666666666
1925-03-31,17.833333333333332
1924-12-31,17.166666666666668
1924-09-30,16.633333333333333
1924-06-30,16.53333333333333
1924-03-31,17.133333333333333
1923-12-31,17.0
1923-09-30,17.03333333333333
1923-06-30,17.566666666666666
1923-03-31,17.8
1922-12-31,17.266666666666666
1922-09-30,17.066666666666666
1922-06-30,16.433333333333334
1922-03-31,15.9
1921-12-31,16.133333333333333
1921-09-30,16.1
1921-06-30,16.566666666666666
1921-03-31,18.46666666666667
1920-12-31,22.900000000000002
1920-09-30,27.733333333333334
1920-06-30,28.666666666666668
1920-03-31,27.2
1919-12-31,25.099999999999998
1919-09-30,24.5
1919-06-30,23.2
1919-03-31,22.733333333333334
1918-12-31,23.5
1918-09-30,23.2
1918-06-30,22.133333333333336
1918-03-31,21.5
1917-12-31,21.166666666666668
1917-09-30,21.333333333333332
1917-06-30,20.5
1917-03-31,18.033333333333335
1916-12-31,16.533333333333335
1916-09-30,14.700000000000001
1916-06-30,14.200000000000001
1916-03-31,13.566666666666668
1915-12-31,12.4
1915-09-30,11.833333333333334
1915-06-30,11.833333333333334
1915-03-31,11.800000000000002
1914-12-31,11.666666666666666
1914-09-30,11.9
1914-06-30,11.633333333333333
1914-03-31,11.766666666666666
1913-12-31,12.066666666666668
1913-09-30,12.066666666666668
1913-06-30,11.933333333333332
1913-03-31,12.033333333333333
