QuarterEnd,News_Based_Policy_Uncert_Index
1990-06-30,95.56681569417317
1990-03-31,102.40972646077473
1989-12-31,95.09790802001953
1989-09-30,78.68712615966797
1989-06-30,90.63966878255208
1989-03-31,70.4334348042806
1988-12-31,92.77196756998698
1988-09-30,87.02746327718098
1988-06-30,95.09007008870442
1988-03-31,109.08645629882812
1987-12-31,167.47857666015625
1987-09-30,64.68305333455403
1987-06-30,91.23008728027344
1987-03-31,95.48632558186848
1986-12-31,92.70969645182292
1986-09-30,125.0059585571289
1986-06-30,116.63860575358073
1986-03-31,127.8066889444987
1985-12-31,94.12515004475911
1985-09-30,111.28219350179036
1985-06-30,100.80989074707031
1985-03-31,94.27449544270833
1984-12-31,109.2932840983073
1984-09-30,96.7689946492513
1984-06-30,93.93660990397136
1984-03-31,114.30703481038411
1983-12-31,92.7075907389323
1983-09-30,94.31889088948567
1983-06-30,102.19148254394531
1983-03-31,113.26884206136067
1982-12-31,107.75001525878906
1982-09-30,113.52560170491536
1982-06-30,118.6019058227539
1982-03-31,114.7031021118164
1981-12-31,89.0319341023763
1981-09-30,97.06318918863933
1981-06-30,92.43068186442058
1981-03-31,90.10408020019531
1980-12-31,89.7541987101237
1980-09-30,92.50284322102864
1980-06-30,84.75935872395833
1980-03-31,88.16813659667969
1979-12-31,113.89553578694661
1979-09-30,96.51238505045573
1979-06-30,94.37359110514323
1979-03-31,94.95385996500652
1978-12-31,87.71687571207683
1978-09-30,87.76409403483073
1978-06-30,82.41749572753906
1978-03-31,102.75960032145183
1977-12-31,104.28036499023438
1977-09-30,75.28674570719402
1977-06-30,84.17226918538411
1977-03-31,71.58147557576497
1976-12-31,83.28090413411458
1976-09-30,69.55173873901367
1976-06-30,69.00747299194336
1976-03-31,75.63450368245442
1975-12-31,100.80101013183594
1975-09-30,82.99344126383464
1975-06-30,80.4616216023763
1975-03-31,87.1716537475586
1974-12-31,101.83142344156902
1974-09-30,94.0083236694336
1974-06-30,91.38011678059895
1974-03-31,109.47708892822266
1973-12-31,105.81950378417969
1973-09-30,80.91493860880533
1973-06-30,84.21382904052734
1973-03-31,85.85620371500652
1972-12-31,65.90679423014323
1972-09-30,63.006890614827476
1972-06-30,62.78052647908529
1972-03-31,66.39518610636394
1971-12-31,89.01699829101562
1971-09-30,81.94384256998698
1971-06-30,60.93212000528971
1971-03-31,61.42205683390299
